"ENSEMBL"	"BE02_107A"
"618"	"ENSG00000047315.17"	1284.001
"619"	"ENSG00000047346.13"	1427.999
"620"	"ENSG00000047365.13"	1007
"621"	"ENSG00000047410.14"	4144
"622"	"ENSG00000047457.14"	90.001
"623"	"ENSG00000047578.14"	467.999
"624"	"ENSG00000047579.20"	217
"625"	"ENSG00000047597.7"	127
"626"	"ENSG00000047617.18"	50
"627"	"ENSG00000047621.12"	130.999
"628"	"ENSG00000047634.15"	133.999
"629"	"ENSG00000047644.20"	283
"630"	"ENSG00000047648.23"	147
"631"	"ENSG00000047662.5"	13
"632"	"ENSG00000047849.22"	3523
"633"	"ENSG00000047932.14"	217
"634"	"ENSG00000047936.11"	60
"635"	"ENSG00000048028.12"	228
"636"	"ENSG00000048052.25"	140
"637"	"ENSG00000048140.18"	90
"638"	"ENSG00000048162.22"	16
"639"	"ENSG00000048342.18"	222.001
"640"	"ENSG00000048392.13"	88
"641"	"ENSG00000048405.11"	412
"642"	"ENSG00000048462.11"	27
"643"	"ENSG00000048471.14"	857
"644"	"ENSG00000048540.16"	187.002
"645"	"ENSG00000048544.7"	187
"646"	"ENSG00000048545.18"	0
"647"	"ENSG00000048649.14"	1259.002
"648"	"ENSG00000048707.15"	4648
"649"	"ENSG00000048740.19"	259
"650"	"ENSG00000048828.18"	2501.259
"651"	"ENSG00000048991.18"	616.001
"652"	"ENSG00000049089.15"	65
"653"	"ENSG00000049130.16"	205
"654"	"ENSG00000049167.16"	168.999
"655"	"ENSG00000049192.15"	27.999
"656"	"ENSG00000049239.13"	602
"657"	"ENSG00000049245.13"	171
"658"	"ENSG00000049246.15"	396
"659"	"ENSG00000049247.14"	0
"660"	"ENSG00000049249.10"	3
"661"	"ENSG00000049283.19"	114
"662"	"ENSG00000049323.16"	1310.001
"663"	"ENSG00000049449.10"	205.732
"664"	"ENSG00000049540.19"	1517.999
"665"	"ENSG00000049541.11"	55
"666"	"ENSG00000049618.25"	1643.001
"667"	"ENSG00000049656.14"	754
"668"	"ENSG00000049759.20"	775.999
"669"	"ENSG00000049768.18"	2
"670"	"ENSG00000049769.14"	15
"671"	"ENSG00000049860.14"	2883
"672"	"ENSG00000049883.15"	44.001
"673"	"ENSG00000050030.16"	82
"674"	"ENSG00000050130.18"	259
"675"	"ENSG00000050165.19"	512
"676"	"ENSG00000050327.15"	871.771
"677"	"ENSG00000050344.9"	80.452
"678"	"ENSG00000050393.12"	149
"679"	"ENSG00000050405.14"	1762
"680"	"ENSG00000050426.16"	282.998
"681"	"ENSG00000050438.17"	202
"682"	"ENSG00000050555.19"	166
"683"	"ENSG00000050628.21"	29.999
"684"	"ENSG00000050730.16"	7
"685"	"ENSG00000050748.18"	457.999
"686"	"ENSG00000050767.18"	6
"687"	"ENSG00000050820.17"	157
"688"	"ENSG00000051009.11"	272.999
"689"	"ENSG00000051108.15"	2450.001
"690"	"ENSG00000051128.19"	30.001
"691"	"ENSG00000051180.17"	23
"692"	"ENSG00000051341.15"	35
"693"	"ENSG00000051382.10"	552.999
"694"	"ENSG00000051523.12"	266.001
"695"	"ENSG00000051596.10"	98.988
"696"	"ENSG00000051620.11"	229
"697"	"ENSG00000051825.15"	328.001
"698"	"ENSG00000052126.17"	1526.384
"699"	"ENSG00000052344.16"	373.999
"700"	"ENSG00000052723.12"	147
"701"	"ENSG00000052749.15"	163
"702"	"ENSG00000052795.13"	893.001
"703"	"ENSG00000052802.13"	329
"704"	"ENSG00000052841.16"	1216.999
